Date,Adress,Size,Rooms,Broker,Rent,Price
20220724,Lagerlöfsgatan 8,21,1,"Nicklas
Kling",515,2650000
2020057,Lövåsvägen 21,21,1,"Robin
Heimberger",1149,1725000
20210129,Luntmakargatan 74,21,1,Unknown,1260,2700000
20201219,Luntmakargatan 74,21,1,"Ylva
Berglund",1260,2675000
20210330,Luntmakargatan 78,21,1,Unknown,989,2900000
20190125,Narvavägen 22,21,1,Unknown,808,2500000
2021077,Nybrogatan 73,21,1,Unknown,457,4200000
20220227,Pipersgatan 20,21,1,"Dilini
Panabokke",2168,2800000
2021064,Rålambsvägen 27,21,1,"Emma
Rågberg fd Hjalmarsson",881,2200000
20200726,Rålambsvägen 27,21,1,"Emma
Rågberg fd Hjalmarsson",881,2200000
20210512,Ringvägen 139,21,1,Unknown,1343,2650000
20200627,Robert Almströmsgatan 12,21,1,Unknown,1205,2800000
20221025,Robert Almströmsgatan 8,21,1,"Alexander
König",1187,2760000
20211012,Robert Almströmsgatan 8,21,1,"Alexander
König",1071,2900000
20200214,Robert Almströmsgatan 8,21,1,Unknown,1070,2750000
20190912,Rödabergsgatan 9A,21,1,"Patrick
Björkman",1570,2430000
20220413,Sågargatan 14,21,1,Unknown,1421,2600000
20220224,Sågargatan 14,21,1,Unknown,1421,2830000
20201029,Sågargatan 14,21,1,Unknown,1289,2400000
20200825,Sågargatan 14,21,1,Unknown,1289,2425000
20200821,Sågargatan 14,21,1,"Erik
Bysell",1289,2320000
20200725,Sankt Eriksgatan 4,21,1,Unknown,1168,2700000
20220114,Sparbanksvägen 14 lgh 1002,21,1,"William
Kajo",1400,1550000
20190529,Storsjövägen 34,21,1,Unknown,1181,1795000
20210422,Styrmansgatan 21A,21,1,Unknown,894,3100000
20210331,Styrmansgatan 35,21,1,"Niklas
Wellmér",1332,2810000
20210414,Svartensgatan 10,21,1,Unknown,1382,2725000
2021049,Sveavägen 129,21,1,Unknown,909,2675000
20190110,Tavastgatan 14,21,1,Unknown,1442,2850000
20210928,Tavastgatan 31,21,1,Unknown,687,2425000
2022069,Tegnérgatan 19,21,1,Unknown,949,2800000
2021055,Tegnérgatan 19,21,1,Unknown,930,2780000
20221124,Timmermansgatan 13,21,1,Unknown,1502,2325000
20210624,Upplandsgatan 25A,21,1,"Nicola
Grez-Pancetti",930,2760000
2022123,Valhallavägen 47,21,1,Unknown,1312,2500000
20220831,Valhallavägen 49,21,1,Unknown,1136,2575000
20220326,Valhallavägen 49,21,1,Unknown,1236,2800000
20210817,Valhallavägen 49,21,1,"Pontus
Spelmans",1010,2650000
20210815,Valhallavägen 49,21,1,"Linnéa
Lindblad",1110,2630000
2021055,Valhallavägen 49,21,1,Unknown,1010,2600000
2020064,Valhallavägen 49,21,1,"Daniel
Levin",1110,2225000
20200129,Valhallavägen 49,21,1,"Peter
Eriksén",1010,2560000
2022021,Valhallavägen 52,21,1,Unknown,772,3050000
20220728,Valhallavägen 73,21,1,Unknown,1277,2850000
20220816,Värtavägen 59,21,1,"Malin
Sjöblom",1110,2250000
2022048,Värtavägen 59,21,1,"Malin
Sjöblom",1110,2660000
20211111,Värtavägen 59,21,1,Unknown,1110,2200000
20210426,Värtavägen 59,21,1,"Daniel
Aslan",1110,2300000
20211010,Vattenledningsvägen 47,21,1,"Alexandra
Ekstrand",2082,2200000
2020123,Vattenledningsvägen 47,21,1,Unknown,2082,2020000
20220930,Völundsgatan 10,21,1,Unknown,1711,2700000
20210511,Völundsgatan 10,21,1,Unknown,1711,2750000
20221014,Wollmar Yxkullsgatan 48A,21,1,"Robin
Nyvall",1377,2435000
20210119,Storsjövägen 34,21.2,1,Unknown,1192,1795000
20221123,Elias Lönnrots väg 5c,21.3,1,"Tobias
Willhardt",1846,1300000
20190715,Storsjövägen 38 A,21.3,1,Unknown,1209,2023500
2020114,Blackensvägen 57 C,21.4,1,Unknown,1522,2100000
20210827,Bergsundsgatan 13,21.5,1,Unknown,1212,2500000
20211012,Gyllenborgsgatan 22,21.5,1,"Jakob
Gustavsson",1528,2600000
2019087,Gyllenborgsgatan 22,21.5,1,Unknown,1528,2600000
20220119,Kungsklippan 22,21.5,1,"Amanda
Persson",1870,2600000
20210810,Kungsklippan 22,21.5,1,Unknown,1834,2600000
20190617,Kungsklippan 22,21.5,1,Unknown,1729,2600000
20190110,Kungsklippan 22,21.5,1,"Caroline
Eliasson",1646,2320000
20200117,Linnégatan 20,21.5,1,Unknown,1310,2650000
20190112,Linnégatan 20,21.5,1,Unknown,1310,2650000
2019057,Ringvägen 122,21.5,1,"Jonathan
Lundin",1172,2330000
20200515,Ringvägen 124,21.5,1,Unknown,1271,2200000
20210525,Ringvägen 126,21.5,1,Unknown,1232,2250000
20210424,Ringvägen 126,21.5,1,"Gustav
Molin",1172,2400000
20210412,Ringvägen 126,21.5,1,Unknown,1271,2300000
2020107,Ringvägen 126,21.5,1,Unknown,1172,2340000
20200529,Ringvägen 128,21.5,1,Unknown,1251,2310000
2022113,Ringvägen 130,21.5,1,Unknown,1398,2175000
2021122,Ringvägen 130,21.5,1,Unknown,1355,2420000
20200828,Ringvägen 130,21.5,1,Unknown,1251,2280000
20190123,Samaritgränd 7,21.5,1,Unknown,1250,2515000
20200830,Tavastgatan 16,21.5,1,Unknown,1368,2570000
20220222,Tjurbergsgatan 32,21.5,1,"Fredrik
Flodin",1013,2970000
20200814,Ymsenvägen 1,21.5,1,Unknown,1403,2425000
2020074,Ymsenvägen 1,21.5,1,Unknown,1411,2340000
2020027,Ymsenvägen 3,21.5,1,Unknown,1389,2300000
2020035,Ymsenvägen 5,21.5,1,Unknown,1336,2250000
20220214,Älvkarleövägen 31,22,1,"Caroline
Hanell",1190,2600000
20220518,Anders Reimers väg 4,22,1,Unknown,1732,2725000
2021033,Anders Reimers väg 4,22,1,Unknown,1551,2425000
