Date,Adress,Size,Rooms,Broker,Rent,Price
20220727,Snödroppsgränd 29 (Uteplats),23.2,1,Josef Gubrail,1592,1550000
20221118,Follingbogatan 18,23.5,1,Linn Holmer,2636,1450000
20190118,Roslagsgatan 60,23.5,1,Unknown,1315,2570000
2023015,Skanörvägen 9,23.5,1,Julia Larsson,1382,2000000
20210624,Nathorstvägen 17,23.6,1,Unknown,1384,2400000
20220812,Ahlsellvägen 6,24,1,Unknown,1882,2350000
20221122,Almbygatan 6,24,1,Unknown,1600,1095000
20211013,Alviksvägen 23 - 0,24,1,Joel Beck-Friis,1281,2300000
20191127,Anders reimers väg 9,24,1,Unknown,1691,2510000
20221124,Artemisgatan 13,24,1,Marcus Ljungdahl,1429,2445000
20210614,Artemisgatan 15,24,1,Pontus Spelmans,1429,2400000
2019125,Arvid Mörnes väg 48,24,1,Linnea Ragnevad,1614,1610000
20221221,Arvodesvägen 23,24,1,Unknown,1606,1650000
2022114,Arvodesvägen 6,24,1,Fadi Shamoun,1924,1900000
20220817,Bergsrådsvägen 36,24,1,Unknown,1865,2100000
20191017,Birger jarlsgatan 104 I,24,1,Unknown,1499,2650000
2020097,Birger Jarlsgatan 83,24,1,Unknown,1409,2580000
20210812,Björngårdsgatan 3,24,1,Unknown,1175,2900000
20221214,Blekingegatan 36,24,1,Unknown,1177,2850000
20221117,Bondegatan 79,24,1,Unknown,1299,2600000
20220927,Brännkyrkagatan 46,24,1,Unknown,1582,2350000
20200521,David bagares gata 10,24,1,Christina Björkholmen,1326,2650000
20220220,Erik Dahlbergsgatan 18,24,1,Caroline Hanell,1275,2950000
20220916,Erik Dahlbergsgatan 36,24,1,Mathias Dominius,1383,2495000
20220426,Falugatan 23,24,1,Unknown,1088,2950000
20210422,Fleminggatan 58,24,1,Unknown,1167,3100000
20221011,Floragatan 7,24,1,Erik Frisk,912,3360000
20210326,Fridhemsplan 25,24,1,Christopher Olsen,1397,2610000
20221027,Furusundsgatan 6,24,1,Unknown,1985,2400000
2022119,Fyrskeppsvägen 45,24,1,Unknown,1525,1450000
20210427,Gamla Huddingevägen 439 B,24,1,Unknown,1988,1575000
2020112,Götgatan 79,24,2,Alexander König,1605,2900000
2022041,Götgatan 79 (gårdsläge),24,1,Unknown,1591,2750000
20220622,Götgatan 96A,24,1,Unknown,611,2550000
20221011,Grevgatan 19,24,1,Martin Sjöman,1047,3650000
20220121,Grevgatan 23 B,24,1,Unknown,1586,3350000
20220919,Gullmarsvägen 8 - Accepterat pris!,24,1,Unknown,1219,2235000
20220817,Hägerstensvägen 191,24,1,Unknown,1873,1950000
20220811,Hallebergsvägen 26,24,1,Emma Bogren,1368,2100000
20200121,Heleneborgsgatan 9 B,24,1,Unknown,1408,2600000
2022127,Högalidsgatan 29,24,1,Robin Nyvall,1431,2750000
20221012,Högalidsgatan 33,24,1,Unknown,1830,2720000
20220218,Holbergsgatan 44,24,1,Andreas Nilsson,1086,1650000
20190523,Hornsgatan 151 3 tr,24,1,Unknown,1794,2800000
2021113,Hornstulls strand 1,24,1,Unknown,1224,2970000
20220321,Jämtlandsgatan 102 (Våning 2),24,1,Nikola Markulic,1375,1620000
2022104,Jämtlandsgatan 74,24,1,Unknown,1375,1325000
20211119,Jämtlandsgatan 86,24,1,Unknown,1317,1400000
20210731,Jämtlandsgatan 90,24,1,Unknown,1317,1550000
20220323,Jämtlandsgatan 94,24,1,Nikola Markulic,1375,1625000
2022047,Kaplansbacken 3,24,1,Unknown,1307,3250000
2021038,Konstgjutarvägen 30,24,1,Walid Mirzazadeh,1783,2050000
20220619,Krukmakargatan 65,24,1,Unknown,1596,2650000
20221024,Kungsbro Strand 21,24,1,Tolgay Erdinc,2192,2265000
2022088,Kungsholmsgatan 13,24,1,Ia Eek,2021,2950000
2022059,Linnégatan 90,24,1,Unknown,881,3250000
20221129,Ljusstöparbacken 7B,24,1,Nicklas Talvitie,1464,2050000
2022121,Lundagatan 50,24,1,Unknown,1382,2800000
20220812,Luntmakargatan 10,24,1,Unknown,2065,2850000
20210829,Majstångsvägen 11,24,1,Unknown,1647,2220000
20200814,Maria prästgårdsgata 27,24,1,Unknown,1350,2650000
20211110,Norr Mälarstrand 78,24,1,Unknown,955,3350000
2022046,Nytorgsgatan 33,24,1,Unknown,677,3450000
20200826,Olaus petrigatan 10,24,1,Malin Sjöblom,1186,2640000
2021082,Olaus Petrigatan 10,24,1,Unknown,1151,2910000
20220824,Östgötagatan 32,24,1,Roger Thalén,850,3275000
20200521,Östhammarsgatan 70-72,24,1,Unknown,1534,2400000
20201022,Östhammarsgatan 72,24,1,Unknown,1534,2725000
20220528,Östhammarsgatan 72 A ,24,1,Unknown,1535,2700000
2022098,Östrandsvägen 70A,24,1,Juan Lagos,1621,1995000
20220915,Perstorpsvägen 110,24,1,Unknown,1377,1600000
20210325,Rådmansgatan 80,24,1,Unknown,1374,3050000
20220520,Rådmansgatan 80a,24,2,Unknown,1237,2850000
20220215,Rökubbsgatan 2,24,1,Unknown,480,2650000
20220719,Roslagsgatan 29A,24,1,Unknown,1507,3100000
20220526,Sandhamnsgatan 23,24,1,Mourad Tajiou,480,2920000
20210628,Sankt Eriksgatan 110,24,1,Unknown,531,2600000
20210824,Sankt eriksgatan 110,24,1,Emillio Afram,531,2950000
20200515,Sankt Göransgatan 64,24,1,Unknown,1438,2675000
20220429,Sankt Göransgatan 64 B,24,1,Unknown,1438,3100000
20211124,Sankt Göransgatan 64A 2tr,24,1,Nina Larsson,1438,2950000
2022124,Sibyllegatan 26,24,1,Simon Hedlund,1025,3350000
20220225,Sjöbjörnsvägen 15B,24,1,Johanna Dahlerus,1522,2500000
20220912,Skeppargatan 75,24,1,Unknown,1392,2585000
20220524,Skinnarviksringen 2,24,1,Unknown,1869,3065000
20220915,Skridskovägen 9A,24,1,Arber Ismajli,1290,1825000
20210927,Skulptörvägen 3,24,1,Unknown,1699,2040000
20220826,Smedsbacksgatan 8,24,1,Unknown,1273,2300000
2022112,Snödroppsgränd 29,24,1,Nikola Markulic,1592,1400000
20211118,Södermalmstorg 8,24,1,Unknown,1371,2930000
20190412,Södermannagatan 41D Ö.G,24,1,Felipe Osorio Åström,1145,2900000
20210319,Sparbanksvägen 10,24,1,Astrid Skogh,1611,1980000
2022029,Sparbanksvägen 14,24,1,Astrid Skogh,1643,2125000
20220813,Sparfvenfeltsgatan 11,24,1,Marie Bertilsson,1985,2150000
20220810,Surbrunnsgatan 19,24,1,Astrid Hovensjö Dicander,1337,2700000
20220629,Svandammsplan 8,24,1,Milot Ismajli,1743,2100000
2022061,Svärdlångsvägen 45,24,1,Unknown,2491,1950000
20221023,Sven Rinmans Gata 4,24,1,Jakob Gustavsson,1770,3100000
20221214,Sysslomansgatan 24,24,1,Unknown,1230,2600000
20221221,Sysslomansgatan 26,24,1,Unknown,942,2495000
20220815,Tavastgatan 16,24,1,Unknown,1453,3200000
20220630,Tavastgatan 5,24,1,Unknown,1745,2640000
20220613,Tegnérgatan 55 C,24,1,Unknown,1638,2550000
2022122,Tegnérgatan 55C,24,1,Unknown,1674,2725000
2022117,Torsgatan 33,24,1,Amanda Treutiger,595,2900000
20210811,Valhallavägen 148b,24,1,Unknown,983,3250000
2020094,Valhallavägen 152 B,24,1,Unknown,964,2820000
20220127,Vanadisvägen 39,24,1,Unknown,1447,3110000
20190529,Vikingagatan 3,24,1,Unknown,1338,2670000
20210511,Wittstocksgatan 3B,24,1,Unknown,325,3500000
20220426,Årstavägen 79,24.4,1,Unknown,2001,2300000
20190124,Elin Wägners gata 6 A,24.4,1,Unknown,1838,1970000
20220818,Erik Dahlbergsgatan 52,24.4,1,Emmy Thorén,1282,2800000
20220929,Årstavägen 127A,24.5,2,Unknown,1988,2070000
20211029,Årstavägen 77,24.5,1,Unknown,2040,2350000
20220824,Årstavägen 81,24.5,1,Unknown,2051,2140000
20220826,Brantingsgatan 40,24.5,1,Emmy Thorén,1423,2770000
20210819,Konstgjutarvägen 40,24.5,1,Unknown,1814,2200000
20221215,Lundagatan 36B,24.5,1,Unknown,1374,2600000
2022046,Sandfjärdsgatan 25,24.5,1,Unknown,1850,2010000
20220621,Sandfjärdsgatan 9,24.5,1,Unknown,1850,2100000
2019072,Sankt Göransgatan 153 9tr,24.5,1,Tolgay Erdinc,1536,2520000
20221124,Styrmansgatan 16B,24.5,1,Amanda Marti de Luque,1827,3250000
20210622,Långsjövägen 130,24.6,1,Unknown,1729,1750000
20211110,Östhammarsgatan 75,24.7,1,Unknown,1652,2700000
20220824,Bergsundsgatan 12,24.9,1,Unknown,1320,2700000
20200129,Ålgrytebacken 11 A,25,1,Unknown,1618,1825000
20210914,Ålgrytebacken 11A,25,1,Unknown,1618,1700000
2022052,Alströmergatan 32 U,25,1,Unknown,1397,2900000
20211221,Älvsåkersgränd 55,25,2,Paulina Despotovic,1797,1850000
2021016,Ankarstocksvägen 13,25,1,Rebecca Bloss,1951,1700000
20220818,Atterbomsvägen 30,25,1,Unknown,1650,2100000
2022045,Bäckaskiftsvägen 11A,25,2,Jeanette Giörtz,1310,2450000
2022097,Bäckvägen 114,25,1,Unknown,2155,1810000
20221124,Bäckvägen 120,25,1,Unknown,2076,2050000
20210730,Banérgatan 25 3 tr ög,25,1,Unknown,704,3300000
20220119,Banérgatan 25 A,25,1,Andreas Gunnarsson,604,3200000
20220831,Banérgatan 25A,25,1,Mathias Dominius,605,2730000
2019066,Banérgatan 7,25,1,Jonathan Lundin,660,3250000
20220620,Bellmansgatan 34,25,1,Unknown,1475,3000000
20211112,Birger Jarlsgatan 69,25,1,Unknown,424,3745000
20220916,Blanchegatan 18,25,1,Unknown,1597,2770000
20221020,Blåsutvägen 7,25,1,Unknown,1801,2220000
2021064,Blecktornsstigen 16,25,1,Unknown,1540,2700000
20211015,Boktryckarvägen 5,25,1,Unknown,1545,2300000
20221013,Boktryckarvägen 7,25,1,Unknown,1555,1900000
20210622,Bondegatan 1E,25,1,Unknown,1246,3000000
20220817,Brännkyrkagatan 92 A,25,1,Unknown,1960,2685000
2022114,Dalagatan 70 A,25,1,Unknown,1340,2775000
2022057,David Bagares gata 12a,25,1,Unknown,1347,3055000
2021064,Doktor Widerströms Gata 14,25,1,Unknown,1908,1960000
20220131,Doktor Widerströms gata 14,25,1,Tobias Franzén,1908,1900000
20200213,Doktor widerströms gata 42,25,1,Unknown,1908,2000000
20190514,Doktor Widerströms Gata 46,25,1,Unknown,1908,1960000
20220412,Doktor Widerströms gata 56,25,1,Natalia Hernandez,1672,1700000
2022085,Doktor widerströms gata 56,25,1,Unknown,1672,2100000
20210119,Doktor Widerströms gata 58,25,1,Unknown,1672,1985000
20220126,Doktor widerströms gata 66,25,1,Unknown,1671,1975000
20220615,Doktor Widerströms gata 68,25,1,Unknown,1672,1900000
2022013,Doktor Widerströms gata 72,25,1,David Hugoh,1672,2050000
2019115,Edsbergsgränd 8,25,1,Unknown,1207,1895000
2022113,Ekensbergsvägen 118,25,1,Nicklas Talvitie,1394,2150000
2020043,Erik Dahlbergsallén 9,25,1,Erik Frisk,931,2900000
2020032,Erik segersälls väg 13,25,1,Unknown,1470,2400000
20210923,Erik Segersälls väg 13,25,1,Unknown,1564,2400000
20221125,Eriksdalsgatan 17,25,1,Unknown,1535,2615000
20221019,Fågelkärrsvägen 2D,25,1,Unknown,1405,2100000
20221020,Falugatan 16,25,1,Unknown,1482,2790000
20220119,Fredmansgatan 7,25,1,Erik Wikingskiöld,1329,3125000
2022038,Frejgatan 57,25,1,Unknown,1803,3260000
2022046,Fridhemsgatan 12,25,1,Filip Savic,1200,3100000
20210116,Fridhemsgatan 53 3 tr,25,1,Unknown,1365,3030000
20220710,Fyrskeppsvägen 33,25,1,Kalle Gudmundsson,1588,2070000
20220531,Granbacken 20,25,1,Linn Johansson,1922,1950000
20210113,Grevgatan 20,25,1,Jonatan Viklund,1200,3525000
20220215,Grevgatan 47B,25,1,Sofia Elfsson da Costa,754,4275000
2021061,Gubbkärrsvägen 29I,25,1,Rebecca Bloss,1653,1800000
20200915,Gumshornsgatan 11,25,1,Alexander König,1503,2975000
2022066,Hägerstensvägen 211,25,1,Unknown,1807,2150000
20211217,Hallandsgatan 32,25,1,Unknown,1455,3000000
20210916,Heleneborgsgatan 9 C,25,1,Unknown,1475,3100000
2022097,Heleneborgsgatan 9c,25,1,Unknown,1475,2700000
20220914,Högalidsgatan 31,25,1,Unknown,1823,2700000
20220826,Hornsgatan 151,25,1,Unknown,1745,2850000
2022122,Hornsgatan 180,25,1,Unknown,1822,2700000
20211029,Hornsgatan 92,25,1,Unknown,1015,3000000
