Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20220119,Slalomvägen 8,58,2,Unknown,3547,3450000,2022-01-19,59483,45,59.2914470394495,17.9750061035156
20220330,Tångvägen 42,58,3,Fadi Shamoun,3514,3460000,2022-03-30,59655,85,59.2921483321933,17.9935455322266
20220426,Dellensvägen 15,58,2,Unknown,4177,3500000,2022-04-26,60345,277,59.3009132721792,18.0443572998047
20220430,Lotta Svärds Gränd 16,58,2,Unknown,3383,3500000,2022-04-30,60345,28,59.287238979488,17.9544067382813
20221216,Svalövsvägen 12,58,2,Emily Olsson,2649,3500000,2022-12-16,60345,70,59.2886417239525,18.1205749511719
20220216,Doktor Widerströms Gata 54,58,3,Unknown,3363,3540000,2022-02-16,61034,26,59.2861868832002,17.9571533203125
2022024,Skidvägen 15,58,2,Johanna Dahlerus,2307,3590000,2022-02-04,61897,51,59.2942521237142,17.9763793945313
20211113,Klädesvägen 42- vån 2,58,2,Gabriel Youhanoun,3287,3600000,2021-11-13,62069,48,59.3387518737797,17.9427337646484
20221023,Svalövsvägen 8,58,2,Unknown,2649,3600000,2022-10-23,62069,64,59.2886417239525,18.1212615966797
2022068,Skälderviksplan 4 - Accepterat pris!,58,3,Unknown,4207,3650000,2022-06-08,62931,141,59.298809892501,18.0340576171875
2022129,Hildebergsvägen 10,58,2,Unknown,3949,3650000,2022-12-09,62931,186,59.3030165218126,18.0271911621094
2022128,Kratsbodavägen 50D,58,2,Arman Davarzan,3565,3685000,2022-12-08,63534,105,59.3615048084631,17.9550933837891
2022114,Sjöbjörnsvägen 6,58,2,Nicklas Talvitie,4015,3700000,2022-11-04,63793,181,59.3163340832322,18.0107116699219
20220726,Svandammsvägen 31B,58,2,Valencia Can,3770,3700000,2022-07-26,63793,116,59.3009132721792,18.0093383789063
20220131,Järnlundsvägen 15,58,2,Unknown,3386,3700000,2022-01-31,63793,141,59.2984593165776,18.0354309082031
20211115,Finn Malmgrens Väg 42,58,3,Unknown,3232,3700000,2021-11-15,63793,120,59.2953039707014,18.1034088134766
2022063,Svalövsvägen 10,58,2,Alfred Gunnarsson,2649,3700000,2022-06-03,63793,64,59.2886417239525,18.1212615966797
20220210,Svalövsvägen 2,58,2,Elin Norberg,2848,3725000,2022-02-10,64224,63,59.2889924010356,18.1212615966797
20220921,Hildebergsvägen 6,58,2,Unknown,3932,3750000,2022-09-21,64655,183,59.3030165218126,18.028564453125
20221123,Gullmarsvägen 12,58,2,Lizette Lundh,3908,3750000,2022-11-23,64655,489,59.2981087370418,18.0752563476563
20220926,Orrfjärdsgränd 20,58,3,Adam Farhoumand,3875,3750000,2022-09-26,64655,370,59.2995110335101,18.0615234375
2022023,Borensvägen 45,58,2,Unknown,3852,3750000,2022-02-03,64655,98,59.2967063827728,18.0532836914063
2022129,Klädesvägen 40,58,2,Gabriel Youhanoun,3287,3750000,2022-12-09,64655,49,59.338401709526,17.9434204101563
2022129,Tegelbruksvägen 1,58,2,Jonas Lindström,2717,3775000,2022-12-09,65086,149,59.3019649132512,18.0148315429688
2022021,Enskedevägen 98 B,58,2,Unknown,2417,3790000,2022-02-01,65345,70,59.2840825930629,18.072509765625
20211130,Skanörvägen 8,58,2,Javiera Robertsson,3442,3800000,2021-11-30,65517,96,59.2917976876279,18.1137084960938
20220915,Lämmelgränd 9,58,2,Josef Khan,3250,3800000,2022-09-15,65517,35,59.3348998684472,17.9605865478516
2022048,Stora Gungans väg 6B,58,2,Pontus Palmén,2755,3850000,2022-04-08,66379,88,59.2844333171194,18.0889892578125
