Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20220225,Sjöbjörnsvägen 15B,24,1,Johanna Dahlerus,1522,2500000,2022-02-25,104167,158,59.3163340832322,18.0079650878906
20191127,Anders reimers väg 9,24,1,Unknown,1691,2510000,2019-11-27,104583,366,59.3194874786778,18.0244445800781
20220613,Tegnérgatan 55 C,24,1,Unknown,1638,2550000,2022-06-13,106250,1300,59.3370010164131,18.0512237548828
20220622,Götgatan 96A,24,1,Unknown,611,2550000,2022-06-22,106250,871,59.3093254904965,18.0752563476563
20220912,Skeppargatan 75,24,1,Unknown,1392,2585000,2022-09-12,107708,487,59.3426034423325,18.0896759033203
20200121,Heleneborgsgatan 9 B,24,1,Unknown,1408,2600000,2020-01-21,108333,485,59.3187867494125,18.0374908447266
20221117,Bondegatan 79,24,1,Unknown,1299,2600000,2022-11-17,108333,355,59.3135308194908,18.0958557128906
20221214,Sysslomansgatan 24,24,1,Unknown,1230,2600000,2022-12-14,108333,469,59.3306971826286,18.0244445800781
20210326,Fridhemsplan 25,24,1,Christopher Olsen,1397,2610000,2021-03-26,108750,519,59.3313976663669,18.0271911621094
20220630,Tavastgatan 5,24,1,Unknown,1745,2640000,2022-06-30,110000,1600,59.3198378378938,18.0642700195313
20200826,Olaus petrigatan 10,24,1,Malin Sjöblom,1186,2640000,2020-08-26,110000,397,59.3450542131029,18.0910491943359
20220619,Krukmakargatan 65,24,1,Unknown,1596,2650000,2022-06-19,110417,568,59.3156332889651,18.0443572998047
20191017,Birger jarlsgatan 104 I,24,1,Unknown,1499,2650000,2019-10-17,110417,1200,59.3475048070169,18.0628967285156
20200814,Maria prästgårdsgata 27,24,1,Unknown,1350,2650000,2020-08-14,110417,1100,59.3156332889651,18.0601501464844
20200521,David bagares gata 10,24,1,Christina Björkholmen,1326,2650000,2020-05-21,110417,1500,59.3373511951061,18.0683898925781
20190529,Vikingagatan 3,24,1,Unknown,1338,2670000,2019-05-29,111250,532,59.3405026409025,18.0326843261719
20200515,Sankt Göransgatan 64,24,1,Unknown,1438,2675000,2020-05-15,111458,619,59.3331488125338,18.0326843261719
20220528,Östhammarsgatan 72 A ,24,1,Unknown,1535,2700000,2022-05-28,112500,93,59.3436537943191,18.1130218505859
20220810,Surbrunnsgatan 19,24,1,Astrid Hovensjö Dicander,1337,2700000,2022-08-10,112500,1300,59.3461044892928,18.0615234375
20221012,Högalidsgatan 33,24,1,Unknown,1830,2720000,2022-10-12,113333,406,59.3180860057027,18.028564453125
2022122,Tegnérgatan 55C,24,1,Unknown,1674,2725000,2022-12-02,113542,1300,59.3370010164131,18.0512237548828
20201022,Östhammarsgatan 72,24,1,Unknown,1534,2725000,2020-10-22,113542,93,59.3436537943191,18.1130218505859
2022041,Götgatan 79 (gårdsläge),24,1,Unknown,1591,2750000,2022-04-01,114583,881,59.3107273246143,18.0752563476563
2022127,Högalidsgatan 29,24,1,Robin Nyvall,1431,2750000,2022-12-07,114583,422,59.3184363793632,18.0299377441406
20190523,Hornsgatan 151 3 tr,24,1,Unknown,1794,2800000,2019-05-23,116667,363,59.3149324802526,18.0326843261719
2022121,Lundagatan 50,24,1,Unknown,1382,2800000,2022-12-01,116667,654,59.3184363793632,18.0429840087891
2020094,Valhallavägen 152 B,24,1,Unknown,964,2820000,2020-09-04,117500,411,59.3394521914579,18.0924224853516
20220812,Luntmakargatan 10,24,1,Unknown,2065,2850000,2022-08-12,118750,1600,59.3366508341103,18.0642700195313
20220520,Rådmansgatan 80a,24,2,Unknown,1237,2850000,2022-05-20,118750,1300,59.3387518737797,18.0512237548828
20221214,Blekingegatan 36,24,1,Unknown,1177,2850000,2022-12-14,118750,878,59.3103768715025,18.0745697021484
20210812,Björngårdsgatan 3,24,1,Unknown,1175,2900000,2021-08-12,120833,1400,59.3173852475481,18.0656433105469
20190412,Södermannagatan 41D Ö.G,24,1,Felipe Osorio Åström,1145,2900000,2019-04-12,120833,797,59.3100264147789,18.0828094482422
2022117,Torsgatan 33,24,1,Amanda Treutiger,595,2900000,2022-11-07,120833,708,59.3387518737797,18.03955078125
2021082,Olaus Petrigatan 10,24,1,Unknown,1151,2910000,2021-08-02,121250,397,59.3450542131029,18.0910491943359
20211118,Södermalmstorg 8,24,1,Unknown,1371,2930000,2021-11-18,122083,1700,59.3201881934988,18.0704498291016
2022088,Kungsholmsgatan 13,24,1,Ia Eek,2021,2950000,2022-08-08,122917,1300,59.3306971826286,18.0484771728516
20211124,Sankt Göransgatan 64A 2tr,24,1,Nina Larsson,1438,2950000,2021-11-24,122917,621,59.3331488125338,18.0333709716797
20220220,Erik Dahlbergsgatan 18,24,1,Caroline Hanell,1275,2950000,2022-02-20,122917,438,59.3419031896274,18.0917358398438
20220426,Falugatan 23,24,1,Unknown,1088,2950000,2022-04-26,122917,564,59.344704113821,18.0354309082031
20210824,Sankt eriksgatan 110,24,1,Emillio Afram,531,2950000,2021-08-24,122917,735,59.3454043087755,18.0402374267578
