Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm
20190830.0,Slipgatan 12,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1392.0,2625000.0,378.0,59.3169129835029,18.02719116210937,114130.0
20190829.0,Åminnevägen 17,23.0,1.0,Bjurfors Östermalm/Lidingö,1492.0,1995000.0,37.0,59.37082979165032,18.05328369140625,86739.0
20190828.0,Norr Mälarstrand 100,25.0,1.0,Diplomat Fastighetmäkleri,1520.0,2550000.0,467.0,59.33022508672785,18.024444580078125,102000.0
20190828.0,Russinvägen 75,24.5,1.0,HusmanHagberg Farsta,1107.0,1930000.0,46.0,59.25518889879465,18.09310913085937,78776.0
20190828.0,Rådmansgatan 8,24.0,1.0,Alexander White,1408.0,2800000.0,1200.0,59.34353197665222,18.07113647460937,116667.0
20190827.0,Sankt Eriksgatan 40,25.0,2.0,Fastighetsbyrån Stockholm - Kungsholmen,288.0,3200000.0,605.0,59.333727405256454,18.032684326171875,128000.0
20190826.0,Luntmakargatan 10,25.0,1.0,Erik Olsson Fastighetsförmedling,1861.0,2900000.0,1600.0,59.33652900015258,18.06427001953125,116000.0
20190826.0,Linnégatan 20,25.0,1.0,BlumenthalHoffman Fastighetsmäkleri,1216.0,2770000.0,1200.0,59.33722936277729,18.0780029296875,110800.0
20190825.0,Långholmsgatan 13,25.0,1.0,Notar,1446.0,2700000.0,414.0,59.3169129835029,18.032684326171875,108000.0
20190824.0,Gyllenborgsgatan 15,21.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1314.0,2450000.0,274.0,59.33302697043213,18.01483154296875,116667.0
20190824.0,Hjulstavägen 92,22.0,1.0,Notar,1567.0,1200000.0,70.0,59.39251239766512,17.9296875,54545.0
20190823.0,Inedalsgatan 15,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1560.0,3150000.0,620.0,59.335128231584385,18.035430908203125,136957.0
20190822.0,Valhallavägen 47,20.0,1.0,SkandiaMäklarna Stockholm Vasastan,1101.0,2380000.0,1200.0,59.34773306953446,18.065643310546875,119000.0
20190822.0,Bokbindarvägen 55,24.0,1.0,Restate,1437.0,2200000.0,55.0,59.300090241462705,17.98187255859375,91667.0
20190822.0,Valutavägen 27,20.0,1.0,Svenska Mäklarhuset Hägersten/Liljeholmen,1659.0,1890000.0,58.0,59.29658445603232,17.9791259765625,94500.0
20190822.0,Paternostervägen 70,20.0,1.0,Bjurfors Hammarby/Skarpnäck & Farsta,1153.0,1570000.0,96.0,59.290273131857745,18.10272216796875,78500.0
20190822.0,Arvodesvägen 18,20.0,1.0,HusmanHagberg Hägersten,1450.0,2020000.0,61.0,59.29868797064062,17.983245849609375,101000.0
20190822.0,Luntmakargatan 85,22.0,1.0,StockholmFast,1344.0,2680000.0,1300.0,59.342831743974685,18.05877685546875,121818.0
20190821.0,Styrmansgatan 16B,24.0,1.0,Innerstadsspecialisten Stockholm AB,1827.0,3150000.0,882.0,59.333727405256454,18.08624267578125,131250.0
20190821.0,Lundagatan 36B,24.5,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1374.0,2550000.0,813.0,59.319015241183074,18.046417236328125,104082.0
20190821.0,Sysslomansgatan 24,25.0,1.0,Mäklarhuset Stockholm Innerstan,1282.0,2700000.0,470.0,59.330925579315355,18.024444580078125,108000.0
20190820.0,Klubbacken 22,25.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,1466.0,2150000.0,22.0,59.30499773418868,17.96539306640625,86000.0
20190820.0,Lidnersplan 8,22.0,1.0,Historiska Hem,1446.0,2500000.0,125.0,59.335828623088354,17.99835205078125,113636.0
20190820.0,Bergsgatan 19,20.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1076.0,2500000.0,1000.0,59.329524579699104,18.04229736328125,125000.0
20190816.0,Östhammarsgatan 70 B,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1534.0,2490000.0,97.0,59.34353197665222,18.112335205078125,103750.0
20190816.0,Arvodesvägen 8,23.0,1.0,Svensk Fastighetsförmedling Hägersten-Liljeholmen,2064.0,2115000.0,56.0,59.29938911327655,17.98187255859375,91957.0
20190816.0,Birger Jarlsgatan 104F,24.0,1.0,BlumenthalHoffman Fastighetsmäkleri,1997.0,2900000.0,1200.0,59.34703292347968,18.062896728515625,120833.0
20190815.0,Bondegatan 3D,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1958.0,2790000.0,951.0,59.31270807812389,18.076629638671875,121304.0
20190815.0,Västmannagatan 97,24.0,1.0,Erik Olsson Fastighetsförmedling,1861.0,2600000.0,835.0,59.34633276298826,18.04229736328125,108333.0
20190815.0,Falugatan 16,25.0,1.0,Vision Mäkleri AB,1400.0,2930000.0,594.0,59.34423219489216,18.03680419921875,117200.0
20190815.0,Gullmarsvägen 8,24.0,1.0,BOSTHLM Fastighetsmäklare AB,1219.0,2420000.0,494.0,59.29868797064062,18.076629638671875,100833.0
20190814.0,Nytorgsgatan 33,24.0,1.0,Fastighetsbyrån Stockholm - Södermalm,677.0,3120000.0,883.0,59.31270807812389,18.08212280273437,130000.0
20190814.0,Karlbergsvägen 57,20.0,1.0,Mäklarhuset Stockholm Innerstan,1017.0,2600000.0,531.0,59.34213149685935,18.032684326171875,130000.0
20190814.0,Åsögatan 182,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1334.0,2530000.0,664.0,59.314109771032584,18.0889892578125,110000.0
20190813.0,Strålgatan 47,24.0,1.0,Bronze Fastighetsförmedling AB,2171.0,2200000.0,123.0,59.324620626125686,18.00384521484375,91667.0
20190810.0,Odengatan 89,22.0,1.0,Notar,436.0,2750000.0,1000.0,59.341431235306,18.046417236328125,125000.0
20190810.0,Rosenlundsgatan 24,20.0,1.0,BOSTHLM Fastighetsmäklare AB,1096.0,2300000.0,1000.0,59.31621220205322,18.0560302734375,115000.0
2019089.0,Rindögatan 27,23.4,1.0,Fastighetsbyrån Stockholm – Östermalm,1497.0,2575000.0,199.0,59.34563258805997,18.0999755859375,110043.0
2019089.0,Sankt Göransgatan 153,22.5,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Kungsholmen,1550.0,2500000.0,256.0,59.337929710962655,18.01483154296875,111111.0
2019089.0,Östhammarsgatan 75,24.7,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1651.0,2400000.0,93.0,59.34423219489216,18.112335205078125,97166.0
2019089.0,Lundagatan 36B,24.5,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,1374.0,2650000.0,813.0,59.319015241183074,18.046417236328125,108163.0
2019089.0,Robert Almströmsgatan 4,22.0,1.0,BOSTHLM Fastighetsmäklare AB,1284.0,2520000.0,546.0,59.33863004470884,18.0340576171875,114545.0
2019088.0,Kungsklippan 11,24.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1706.0,2600000.0,1300.0,59.329524579699104,18.04779052734375,108333.0
2019088.0,Hallandsgatan 26,21.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,944.0,2410000.0,874.0,59.30990451895182,18.0670166015625,114762.0
